kkya っきゃ
kkyu っきゅ
kkyo っきょ
ssya っしゃ
ssyu っしゅ
ssyo っしょ
ttya っちゃ
ttyu っちゅ
ttyo っちょ
hhya っひゃ
hhyu っひゅ
hhyo っひょ
mmya っみゃ
mmyu っみゅ
mmyo っみょ
rrya っりゃ
rryu っりゅ
rryo っりょ
ggya っぎゃ
ggyu っぎゅ
ggyo っぎょ
zzya っじゃ
zzyu っじゅ
zzyo っじょ
ddyu っぢゅ
ddhu っぢゅ
bbya っびゃ
bbyu っびゅ
bbyo っびょ
ppya っぴゃ
ppyu っぴゅ
ppyo っぴょ
ccha っちゃ
cchi っち
cchu っちゅ
cche っちぇ
ccho っちょ
kka っか
kki っき
kku っく
kke っけ
kko っこ
ssa っさ
ssi っし
ssu っす
sse っせ
sso っそ
tta った
tti っち
ttu っつ
tte って
tto っと
hha っは
hhi っひ
hhu っふ
hhe っへ
hho っほ
mma っま
mmi っみ
mmu っむ
mme っめ
mmo っも
rra っら
rri っり
rru っる
rre っれ
rro っろ
wwa っわ
wwo っを
gga っが
ggi っぎ
ggu っぐ
gge っげ
ggo っご
zza っざ
zzi っじ
zzu っず
zze っぜ
zzo っぞ
dda っだ
ddi っぢ
ddu っづ
dde っで
ddo っど
bba っば
bbi っび
bbu っぶ
bbe っべ
bbo っぼ
ppa っぱ
ppi っぴ
ppu っぷ
ppe っぺ
ppo っぽ
kya きゃ
kyu きゅ
kyo きょ
sya しゃ
syu しゅ
syo しょ
tya ちゃ
tyu ちゅ
tyo ちょ
nya にゃ
nyu にゅ
nyo にょ
hya ひゃ
hyu ひゅ
hyo ひょ
mya みゃ
myu みゅ
myo みょ
rya りゃ
ryu りゅ
ryo りょ
gya ぎゃ
gyu ぎゅ
gyo ぎょ
zya じゃ
zyu じゅ
zyo じょ
dyu ぢゅ
dhu ぢゅ
bya びゃ
byu びゅ
byo びょ
pya ぴゃ
pyu ぴゅ
pyo ぴょ
cha ちゃ
chi ち
chu ちゅ
che ちぇ
cho ちょ
ka か
ki き
ku く
ke け
ko こ
sa さ
si し
su す
se せ
so そ
ta た
ti ち
tu つ
te て
to と
na な
ni に
nu ぬ
ne ね
no の
ha は
hi ひ
hu ふ
he へ
ho ほ
ma ま
mi み
mu む
me め
mo も
ya や
yu ゆ
yo よ
ra ら
ri り
ru る
re れ
ro ろ
wa わ
wo を
nn ん
ga が
gi ぎ
gu ぐ
ge げ
go ご
za ざ
zi じ
zu ず
ze ぜ
zo ぞ
da だ
de で
do ど
ba ば
bi び
bu ぶ
be べ
bo ぼ
pa ぱ
pi ぴ
pu ぷ
pe ぺ
po ぽ
la ぁ
li ぃ
lu ぅ
le ぇ
lo ぉ
xa ぁ
xi ぃ
xu ぅ
xe ぇ
xo ぉ
a あ
i い
u う
e え
o お
n ん
